candidate_count,case_id,expected_domain,fusion_seconds,ground_truth_used_in_inference,mean_matched_boundary_f1_at_025,mean_matched_iou_at_025,object_category,object_iou,object_precision,object_recall,oversegmentation_ratio,part_f1_at_025,part_f1_at_050,part_precision_at_025,part_precision_at_050,part_recall_at_025,part_recall_at_050,predicted_part_count,semantic_part_recall_at_025,variant
4,bowl,container,0.014480799960438162,False,0.41323231042353537,0.3659002482891083,bowl,0.4867983009987372,0.5429925091235034,0.8246791131855309,0.2,0.33333333333333337,0.0,1.0,0.0,0.2,0.0,1.0,0.2,A1_cross_source_consensus
4,bowl,container,0.02009800000814721,False,0.4266881073512899,0.3818966746330261,bowl,0.534486582390774,0.5542778288868445,0.9373784519642162,0.8,0.22222222222222224,0.0,0.25,0.0,0.2,0.0,4.0,0.2,A2_consensus_hierarchy
4,bowl,container,0.019938700017519295,False,0.379616124327185,0.3699641227722168,bowl,0.534486582390774,0.5542778288868445,0.9373784519642162,0.8,0.22222222222222224,0.0,0.25,0.0,0.2,0.0,4.0,0.2,A3_full_fusion
9,handbag,container,0.020289700012654066,False,0.6596992912065459,0.8083135485649109,handbag,0.8441613588110404,0.9851337958374629,0.8550537634408603,0.2,0.33333333333333337,0.33333333333333337,1.0,1.0,0.2,0.2,1.0,0.2,A0_independent_max
9,handbag,container,0.024946500023361295,False,0.6596992912065459,0.8083135485649109,handbag,0.8441613588110404,0.9851337958374629,0.8550537634408603,0.2,0.33333333333333337,0.33333333333333337,1.0,1.0,0.2,0.2,1.0,0.2,A1_cross_source_consensus
9,handbag,container,0.031231399974785745,False,0.7161956858213676,0.3672908693552017,handbag,0.8819246597024375,0.9792618629173989,0.8987096774193548,1.2,0.3636363636363636,0.0,0.3333333333333333,0.0,0.4,0.0,6.0,0.2,A2_consensus_hierarchy
9,handbag,container,0.029134200012777,False,0.6491604355795311,0.31323909759521484,handbag,0.8819246597024375,0.9792618629173989,0.8987096774193548,1.2,0.3636363636363636,0.0,0.3333333333333333,0.0,0.4,0.0,6.0,0.2,A3_full_fusion
5,plastic_bag,container,0.04906160000246018,False,0.6853070159551569,0.7574943900108337,plastic_bag,0.5321209204253758,0.9994834154846208,0.5322673085740486,0.3333333333333333,0.5,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,A0_independent_max
5,plastic_bag,container,0.04703819996211678,False,0.6853070159551569,0.7574943900108337,plastic_bag,0.5321209204253758,0.9994834154846208,0.5322673085740486,0.3333333333333333,0.5,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,A1_cross_source_consensus
5,plastic_bag,container,0.08054729999275878,False,0.6003414889874504,0.6846349239349365,plastic_bag,0.5321209204253758,0.9994834154846208,0.5322673085740486,1.3333333333333333,0.28571428571428575,0.28571428571428575,0.25,0.25,0.3333333333333333,0.3333333333333333,4.0,0.3333333333333333,A2_consensus_hierarchy
5,plastic_bag,container,0.09825899999123067,False,0.3118412820709222,0.3772772401571274,plastic_bag,0.5320292445911258,0.9994833265161137,0.5321756075194864,1.6666666666666667,0.5,0.0,0.4,0.0,0.6666666666666666,0.0,5.0,0.3333333333333333,A3_full_fusion
5,box,container,0.13835439999820665,False,0.0,0.0,box,0.12015637785253205,1.0,0.12015637785253205,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A0_independent_max
5,box,container,0.14108260005014017,False,0.0,0.0,box,0.12550231839258114,1.0,0.12550231839258114,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,A1_cross_source_consensus
5,box,container,0.19720440002856776,False,0.0,0.0,box,0.14066127223687003,1.0,0.14066127223687003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,A2_consensus_hierarchy
5,box,container,0.21490859996993095,False,0.0,0.0,box,0.14066127223687003,1.0,0.14066127223687003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,A3_full_fusion
9,carton,container,0.027111200033687055,False,0.7333872271624898,0.47920432686805725,carton,0.8433345099423462,0.9999302455357143,0.8433841266105784,0.75,0.28571428571428575,0.0,0.3333333333333333,0.0,0.25,0.0,3.0,0.25,A0_independent_max
9,carton,container,0.025799900002311915,False,0.7333872271624898,0.47920432686805725,carton,0.8656312507353806,0.999932042133877,0.8656821792080955,1.0,0.25,0.0,0.25,0.0,0.25,0.0,4.0,0.25,A1_cross_source_consensus
9,carton,container,0.036781299975700676,False,0.5386857381396107,0.3916042447090149,carton,0.9572014051522248,0.9949488802336903,0.9618756251103135,1.25,0.6666666666666665,0.22222222222222224,0.6,0.2,0.75,0.25,5.0,0.5,A2_consensus_hierarchy
9,carton,container,0.03518950002035126,False,0.47484699083097864,0.38699136177698773,carton,0.9572014051522248,0.9949488802336903,0.9618756251103135,1.25,0.6666666666666665,0.22222222222222224,0.6,0.2,0.75,0.25,5.0,0.5,A3_full_fusion
14,crate,container,0.11654490005457774,False,0.0,0.0,crate,0.8203342249529914,0.9021800865044345,0.9004229589686197,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,A0_independent_max
14,crate,container,0.1184977000229992,False,0.0,0.0,crate,0.8114203392050291,0.8913249892101855,0.9005101670033866,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,A1_cross_source_consensus
14,crate,container,0.18249169999035075,False,0.8442795825327598,0.7579935193061829,crate,0.8784147498992315,0.8928448708799196,0.981933402130783,3.0,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,9.0,0.0,A2_consensus_hierarchy
14,crate,container,0.18533249996835366,False,0.5779144712534439,0.6458366513252258,crate,0.8781581992900147,0.892880280293515,0.9815700353192541,2.6666666666666665,0.36363636363636365,0.18181818181818182,0.25,0.125,0.6666666666666666,0.3333333333333333,8.0,0.3333333333333333,A3_full_fusion
3,basket,container,0.004266900010406971,False,0.0,0.0,basket,0.8156368221941992,1.0,0.8156368221941992,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A0_independent_max
3,basket,container,0.004406200023368001,False,0.0,0.0,basket,0.8156368221941992,1.0,0.8156368221941992,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A1_cross_source_consensus
3,basket,container,0.005423499969765544,False,0.0,0.0,basket,0.8712522045855379,0.998844598497978,0.8721311475409836,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A2_consensus_hierarchy
3,basket,container,0.005471399985253811,False,0.0,0.0,basket,0.8712522045855379,0.998844598497978,0.8721311475409836,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,A3_full_fusion
11,bucket,container,0.06376310001360252,False,0.4963352378055157,0.7064784169197083,bucket,0.7594347954077126,0.8943664413243196,0.8342657568799923,0.4,0.28571428571428575,0.28571428571428575,0.5,0.5,0.2,0.2,2.0,0.2,A0_independent_max
11,bucket,container,0.06469310005195439,False,0.43750418985050615,0.6229900121688843,bucket,0.7594347954077126,0.8943664413243196,0.8342657568799923,0.6,0.25,0.25,0.3333333333333333,0.3333333333333333,0.2,0.2,3.0,0.2,A1_cross_source_consensus
11,bucket,container,0.08830880001187325,False,0.23869420999047586,0.46809718012809753,bucket,0.7989462167453645,0.87930160339692,0.8973579536267503,1.0,0.20000000000000004,0.0,0.2,0.0,0.2,0.0,5.0,0.2,A2_consensus_hierarchy
11,bucket,container,0.09904980001738295,False,0.23726047073417555,0.43056678771972656,bucket,0.798658297823333,0.8792633447445163,0.8970345697377357,1.0,0.20000000000000004,0.0,0.2,0.0,0.2,0.0,5.0,0.0,A3_full_fusion
